step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
82,20.5,28.127353007700375,0.0,28.127353007700375,28.127353007700375,28.127353007700375,0.0,0,0.9869959,0.9976159,-376.906530303185,0.9976159,0.99540806,0.9933469,0.99170184,0.9902014,0.9891353,0.9884075,0.9877873,0.987328,0.98702836,0.9869959
83,20.75,29.77182726977901,0.0,29.77182726977901,29.77182726977901,29.77182726977901,0.0,0,0.9858076,0.9974765,-398.94248541503873,0.9974765,0.9951293,0.9929434,0.99113876,0.9894796,0.9882573,0.9874265,0.9867168,0.98616326,0.98584014,0.9858076
84,21.0,31.070434567911995,1.3342496513432707,29.736184916568725,29.736184916568725,29.736184916568725,0.0,0,0.98551476,0.99747586,-398.4648778820209,0.99747586,0.9951239,0.99294466,0.991091,0.9894091,0.9881164,0.987221,0.9864655,0.98590636,0.9855473,0.98551476
85,21.25,31.133668472172772,0.0,31.133668472172772,31.133668472172772,31.133668472172772,0.0,0,0.98511535,0.997362,-417.19115752711525,0.997362,0.99496615,0.9927493,0.99086505,0.9891721,0.98782516,0.98688227,0.9860959,0.98551905,0.9851479,0.98511535
86,21.5,29.549778683765524,0.0,29.549778683765524,29.549778683765524,29.549778683765524,0.0,0,0.9852941,0.99749386,-395.96703436245804,0.99749386,0.99517685,0.9930395,0.9911617,0.9894772,0.98807967,0.98712,0.9863095,0.9857004,0.9853267,0.9852941
87,21.75,29.678488048049935,0.0,29.678488048049935,29.678488048049935,29.678488048049935,0.0,0,0.9853552,0.997484,-397.69173984386913,0.997484,0.9952232,0.99318254,0.9913604,0.9897576,0.9883687,0.9873391,0.98644996,0.9857925,0.98538774,0.9853552
88,22.0,27.743987067746726,0.7773626064845259,26.9666244612622,26.9666244612622,26.9666244612622,0.0,0,0.9865893,0.99771065,-361.35276778091355,0.99771065,0.9956749,0.99387133,0.9922166,0.9907659,0.9894896,0.98850566,0.98769736,0.98705,0.9866218,0.9865893
89,22.25,27.138901986089614,0.0,27.138901986089614,27.138901986089614,27.138901986089614,0.0,0,0.98642606,0.99769807,-363.6612866136009,0.99769807,0.9956814,0.99391145,0.9922573,0.99082273,0.9895281,0.98848027,0.9876109,0.9869204,0.9864586,0.98642606
90,22.5,23.055104738383257,0.0,23.055104738383257,23.055104738383257,23.055104738383257,0.0,0,0.9890299,0.99804235,-308.9384034943356,0.99804235,0.9963853,0.9949961,0.9936533,0.992542,0.9914751,0.9906361,0.9899733,0.9894275,0.98906237,0.9890299
91,22.75,21.866229038331056,0.0,21.866229038331056,21.866229038331056,21.866229038331056,0.0,0,0.98981756,0.9981424,-293.00746911363615,0.9981424,0.9965865,0.9952761,0.9940084,0.9930138,0.99207634,0.9912841,0.99067307,0.9901775,0.98985,0.98981756
92,23.0,21.367465496622444,0.0,21.367465496622444,21.367465496622444,21.367465496622444,0.0,0,0.9908551,0.99818546,-89.74335508581427,0.99818546,0.9966819,0.9954647,0.9943361,0.99348634,0.9927266,0.9920675,0.99155766,0.99115586,0.9908875,0.9908551
93,23.25,18.803647045887736,1.7270696951004818,17.076577350787254,17.076577350787254,17.076577350787254,0.0,0,0.9930138,0.9985402,-71.72162487330648,0.9985402,0.9973845,0.9964861,0.99561983,0.9950205,0.99447507,0.9939861,0.9936091,0.9932935,0.99304616,0.9930138
94,23.5,16.931808141692642,1.5751999866647095,15.356608155027931,15.356608155027931,15.356608155027931,0.0,0,0.9939353,0.9986839,-64.4977542511173,0.9986839,0.99763477,0.9968463,0.996085,0.9955784,0.9951192,0.9947322,0.9944311,0.99417293,0.9939676,0.9939353
95,23.75,13.349033230008441,0.0,13.349033230008441,13.349033230008441,13.349033230008441,0.0,0,0.99517053,0.9988545,-56.06593956603545,0.9988545,0.9979526,0.99726945,0.9966436,0.99622715,0.99590254,0.9956401,0.9954737,0.9953276,0.9952028,0.99517053
